Parameters for motile sperms:
VCL              VAP              VSL              LIN             STR             WOB             BeatCross             ALH
75.54396    37.90697    35.283558    0.46705994    0.93079346    0.5017869    41.37931    3.04133
64.146126    27.341993    22.314672    0.3478725    0.8161319    0.42624542    43.157894    2.2982225
88.90185    49.835587    47.483734    0.5341141    0.9528077    0.56056863    43.826088    3.4386404
74.6641    30.410763    27.653345    0.37037003    0.9093276    0.40730098    44.347828    2.588095
73.13632    33.100616    28.731585    0.3928497    0.8680075    0.45258793    43.448277    2.8897696
59.569893    29.947363    26.861017    0.450916    0.896941    0.5027265    41.62162    2.4481595
67.89341    38.661404    31.665    0.46639284    0.8190339    0.56944263    41.896553    2.7503502
65.82109    42.216644    26.853922    0.40798354    0.63609797    0.6413848    34.117645    2.7800138
TotalSperm: 17.0
TM         PM         AvgVCL     AvgVAP     AvgVSL     AvgLIN     AvgSTR     AvgWOB     AvgBeats    AvgALH
8.0       8.0       71.209595       36.177666       30.855854       0.42969483       0.85364264       0.50804484       41.724403       2.7793226
SLOW     MEDIUM     RAPID
8.0   0.0   0.0
MedianVCL        MedianVAP        MedianVSL        MedianLIN        MedianSTR        MedianWOB        MedianBeats        MedianALH
70.51487   35.50379   28.192465   0.42944977   0.88247424   0.5022567   42.52722   2.765182
SigmaVCL        SigmaVAP        SigmaVSL        SigmaLIN        SigmaSTR        SigmaWOB        SigmaBeats        SigmaALH
9.046363   7.481202   7.7130704   0.061108675   0.10063966   0.07954455   3.2590113   0.35738745
#############  --- Color LEGEND  --- #############
RED: RAPID
ORANGE: MEDIUM
GREEN: SLOW
BLACK: NOT CLASSIFIED
4 133 48
4 132 47
4 132 46
4 134 46
4 134 45
4 135 45
4 137 44
4 137 42
4 138 41
4 140 42
4 139 40
4 142 41
4 142 39
4 144 40
4 143 39
4 146 39
4 146 38
4 148 38
4 149 37
4 150 37
4 151 38
4 152 37
4 154 37
4 154 36
4 156 37
4 156 35
4 159 36
4 159 35
4 161 36
4 162 35
4 163 35
4 164 35
4 165 34
4 167 35
4 167 35
4 169 35
4 171 35
4 169 35
4 173 34
4 174 33
4 175 34
4 175 33
4 177 33
4 178 33
4 178 32
4 179 31
4 180 32
4 180 31
4 180 32
4 180 32
4 180 32
4 180 31
4 181 32
4 180 32
4 181 32
4 181 32
4 181 33
4 180 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 181 32
4 182 32
4 182 31
4 182 31
4 182 31
4 182 31
4 182 31
4 182 31
4 182 31
4 182 30
4 182 31
4 182 31
4 182 31
4 182 30
4 183 31
4 182 30
4 183 30
4 182 30
4 183 30
4 183 30
4 183 29
4 184 29
4 184 29
4 183 28
4 184 28
4 184 28
4 184 28
4 184 28
4 184 28
4 184 28
4 184 28
4 184 28
4 184 28
4 184 28
4 184 27
4 184 28
4 184 27
4 184 28
4 184 27
4 184 28
4 184 28
4 184 27
4 185 28
4 184 27
4 184 28
4 184 27
4 185 27
6 105 77
6 104 78
6 105 79
6 104 79
6 105 80
6 104 81
6 104 82
6 104 83
6 105 83
6 104 84
6 104 85
6 104 85
6 104 87
6 104 86
6 104 88
6 103 88
6 103 89
6 102 90
6 102 91
6 102 91
6 102 92
6 101 92
6 101 93
6 101 94
6 101 94
6 100 94
6 101 94
6 99 95
6 100 95
6 99 95
6 99 96
6 98 96
6 99 96
6 98 96
6 98 96
6 97 97
6 97 96
6 97 96
6 97 96
6 97 97
6 96 97
6 96 97
6 96 97
6 96 97
6 95 97
6 94 97
6 94 97
6 95 98
6 95 98
6 95 98
6 94 97
6 95 98
6 94 98
6 95 98
6 95 98
6 96 98
6 95 99
6 94 99
6 95 99
6 95 98
6 94 100
6 95 98
6 94 100
6 94 99
6 94 100
6 93 100
6 93 100
6 93 100
6 93 100
6 93 101
6 92 100
6 92 101
6 91 101
6 92 101
6 91 102
6 91 102
6 91 102
6 91 102
6 91 101
6 91 102
6 90 101
6 91 102
6 91 101
6 91 102
6 90 101
6 91 102
6 91 101
6 91 102
6 90 101
6 91 102
6 91 101
6 91 102
6 91 102
6 90 101
6 90 102
6 89 101
6 89 103
6 88 102
6 88 102
6 88 102
6 87 102
6 86 102
6 86 102
6 85 103
6 85 101
6 84 102
6 83 101
6 82 102
6 82 101
6 81 102
6 81 101
6 81 102
6 80 101
6 80 101
6 79 102
6 78 101
6 78 102
6 77 100
6 76 101
7 86 89
7 87 88
7 89 88
7 88 86
7 89 86
7 89 85
7 90 84
7 89 83
7 92 82
7 90 82
7 92 81
7 92 80
7 93 79
7 93 79
7 95 79
7 95 77
7 97 78
7 97 76
7 99 76
7 98 75
7 100 75
7 100 74
7 101 74
7 102 73
7 102 73
7 104 72
7 104 72
7 105 72
7 106 72
7 106 72
7 105 70
7 106 70
7 106 69
7 106 69
7 106 68
7 106 68
7 106 67
7 106 67
7 107 67
7 106 67
7 107 67
7 106 67
7 107 67
7 107 67
7 107 68
7 107 67
7 107 67
7 107 68
7 107 67
7 107 67
7 107 67
7 107 67
7 107 68
7 108 68
7 107 68
7 107 68
7 108 67
7 108 68
7 107 66
7 108 67
7 108 66
7 108 65
7 110 64
7 109 63
7 112 62
7 110 60
7 113 60
7 111 58
7 113 57
7 112 57
7 115 56
7 114 55
7 117 55
7 116 54
7 118 54
7 118 53
7 118 53
7 120 53
7 121 53
7 122 51
7 124 50
7 124 50
7 126 49
7 126 48
7 127 48
7 126 46
7 128 46
7 128 44
7 129 45
7 129 44
7 130 43
7 130 44
7 131 43
7 131 44
7 131 43
7 131 43
7 131 42
7 131 43
7 131 42
7 131 43
7 131 41
7 132 42
7 132 41
7 133 41
7 133 40
7 133 40
7 133 40
7 134 40
7 135 40
7 134 39
7 136 39
7 135 37
7 136 37
7 136 36
7 137 35
7 138 35
7 138 34
7 140 33
7 139 32
9 23 98
9 22 98
9 23 97
9 22 98
9 24 96
9 23 96
9 23 96
9 23 95
9 23 95
9 23 95
9 23 95
9 23 95
9 23 95
9 23 95
9 25 95
9 23 93
9 24 92
9 24 92
9 24 91
9 25 90
9 24 90
9 25 89
9 26 88
9 25 87
9 28 87
9 26 85
9 28 85
9 27 84
9 28 83
9 29 82
9 28 81
9 30 81
9 29 79
9 30 78
9 32 77
9 31 76
9 34 78
9 34 75
9 36 73
9 35 72
9 37 72
9 36 70
9 38 70
9 39 69
9 40 67
9 42 67
9 41 66
9 43 66
9 43 65
9 44 65
9 44 64
9 44 65
9 44 64
9 44 65
9 44 64
9 44 64
9 44 64
9 44 64
9 44 64
9 44 64
9 44 65
9 44 64
9 44 65
9 44 64
9 44 64
9 44 65
9 44 64
9 44 65
9 44 64
9 44 64
9 44 64
9 44 65
9 44 64
9 44 64
9 44 64
9 44 64
9 44 64
9 44 64
9 44 64
9 44 63
9 44 64
9 44 64
9 44 64
9 43 64
9 44 64
9 44 64
9 44 64
9 44 64
9 44 63
9 43 63
9 44 63
9 44 63
9 44 63
9 44 64
9 43 63
9 44 64
9 43 63
9 44 64
9 43 62
9 43 64
9 43 63
9 44 64
9 43 63
9 44 63
9 43 63
9 44 63
9 43 63
9 44 63
9 44 63
9 43 63
9 44 63
9 44 63
9 44 63
9 43 63
9 43 63
9 43 63
9 44 62
9 44 63
9 44 62
10 81 139
10 82 139
10 80 140
10 83 141
10 82 142
10 82 142
10 83 143
10 82 144
10 84 145
10 82 146
10 83 146
10 83 148
10 83 149
10 84 149
10 81 150
10 82 152
10 82 154
10 84 154
10 82 155
10 84 156
10 82 157
10 83 158
10 79 156
10 80 159
10 78 160
10 79 161
10 78 162
10 78 163
10 78 164
10 76 164
10 77 166
10 74 167
10 76 168
10 74 168
10 74 169
10 73 169
10 72 171
10 72 173
10 71 173
10 70 174
10 70 174
10 69 175
10 68 175
10 68 175
10 68 175
10 67 175
10 68 175
10 66 176
10 66 176
10 64 177
10 63 177
10 62 177
10 62 177
10 62 178
10 62 178
10 62 178
10 62 177
10 62 177
10 61 177
10 61 177
10 61 177
10 61 177
10 62 177
10 61 177
10 62 177
10 61 178
10 61 177
10 62 178
10 61 177
10 62 178
10 62 178
10 61 178
10 61 178
10 61 177
10 61 178
10 61 177
10 62 178
10 61 177
10 62 177
10 61 177
10 61 178
10 61 178
10 61 177
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 178
10 61 177
10 61 178
10 61 178
10 61 178
10 60 178
10 60 178
10 61 178
10 60 178
10 61 178
10 60 178
10 61 178
10 61 178
10 60 178
10 61 178
10 60 178
10 61 177
10 60 178
10 60 178
10 60 178
11 64 167
11 65 167
11 64 169
11 66 169
11 65 170
11 68 170
11 67 172
11 68 172
11 69 173
11 69 174
11 70 175
11 70 176
11 71 176
11 71 177
11 72 178
11 73 179
11 73 180
11 75 180
11 74 181
11 77 180
11 76 182
11 78 182
11 78 184
11 80 183
11 80 185
11 82 184
11 83 186
11 84 185
11 85 187
11 86 186
11 87 187
11 88 188
11 90 188
11 89 189
11 91 188
11 92 189
11 93 189
11 94 190
11 95 189
11 95 190
11 96 190
11 96 190
11 98 191
11 98 190
11 99 190
11 99 190
11 99 190
11 99 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 100 190
11 101 190
11 101 190
11 100 190
11 101 190
11 101 189
11 101 190
11 101 190
11 101 190
11 101 189
11 101 190
11 101 189
11 101 190
11 101 190
11 101 190
11 101 189
11 101 190
11 101 190
11 101 189
11 101 190
11 102 189
11 101 189
11 101 190
11 101 190
11 102 189
11 102 189
11 102 190
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 188
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
11 102 189
12 113 207
12 114 206
12 114 207
12 114 207
12 115 208
12 115 208
12 115 208
12 115 209
12 116 209
12 116 210
12 116 210
12 117 211
12 117 212
12 117 212
12 117 213
12 118 212
12 117 214
12 119 213
12 118 214
12 119 214
12 119 215
12 120 215
12 119 216
12 120 216
12 120 218
12 121 217
12 121 219
12 122 219
12 122 220
12 123 220
12 123 221
12 123 221
12 124 222
12 124 222
12 125 222
12 125 224
12 126 223
12 126 225
12 127 224
12 127 225
12 128 225
12 127 226
12 128 224
12 129 226
12 130 227
12 131 227
12 131 229
12 132 228
12 131 229
12 132 228
12 133 229
12 133 229
12 134 230
12 134 229
12 136 230
12 136 232
12 137 230
12 138 232
12 139 231
12 139 232
12 140 232
12 141 231
12 142 233
12 143 232
12 145 232
12 145 231
12 146 231
12 146 231
12 147 231
12 147 231
12 147 230
12 147 230
12 148 230
12 148 230
12 148 230
12 148 230
12 148 230
12 148 230
12 148 229
12 149 230
12 148 229
12 149 230
12 149 229
12 150 229
12 149 229
12 150 229
12 150 229
12 150 229
12 150 229
12 151 229
12 151 229
12 151 228
12 152 229
12 152 228
12 153 228
12 153 228
12 153 228
12 153 228
12 153 228
12 153 228
12 154 228
12 154 228
12 154 227
12 155 227
12 155 227
12 155 227
12 155 227
12 155 227
12 155 227
12 155 226
12 156 226
12 156 226
12 156 226
12 157 225
12 157 225
12 157 225
12 158 225
12 158 224
12 158 223
16 39 256
16 40 256
16 40 256
16 40 256
16 41 255
16 40 254
16 41 253
16 41 252
16 41 251
16 42 251
16 41 250
16 42 249
16 42 248
16 42 247
16 43 246
16 40 247
16 41 246
16 41 244
16 41 243
16 41 242
16 40 241
16 41 240
16 40 240
16 40 240
16 40 238
16 39 238
16 39 236
16 39 237
16 39 235
16 38 234
16 38 234
16 39 234
16 38 234
16 38 233
16 37 233
16 37 233
16 37 233
16 36 233
16 36 232
16 36 232
16 36 232
16 35 232
16 35 232
16 35 232
16 35 231
16 35 232
16 35 231
16 34 231
16 34 231
16 34 231
16 34 231
16 34 231
16 33 231
16 33 231
16 33 231
16 32 231
16 32 231
16 32 231
16 32 231
16 32 231
16 31 231
16 31 231
16 31 231
16 31 231
16 31 231
16 30 231
16 31 231
16 30 231
16 30 231
16 30 231
16 30 231
16 30 231
16 29 231
16 29 231
16 28 231
16 27 232
16 27 230
16 27 233
16 25 232
16 24 233
16 23 232
16 23 233
16 22 234
16 21 234
16 20 234
16 20 235
16 20 235
16 19 236
16 18 235
16 19 237
16 17 236
16 16 238
16 15 238
16 15 238
16 13 239
16 13 239
16 13 239
16 13 240
16 11 241
16 11 242
16 10 242
16 10 243
16 8 243
16 8 244
16 7 245
